"","X","RID","activity","ResponseId","Rank","Question","activity_orig","activity_grammarfix","activity_standard1","activity_standard2"
"47","51","49","walk","r_omoj9yitim8jsdf","1","q1_1","walk","walk","walk","walk"
"48","52","50","hike","r_dhuw0th6zyp7b1l","1","q1_1","hike","hike","hike","hike"
"49","53","51","hike","r_8pefuqghyfuhzjn","1","q1_1","hike","hike","hike","hike"
"50","54","52","day hikes","r_1eil1itzmwdlx1o","1","q1_1","day hikes","day hike","hike","hike"
"51","55","53","hike","r_1cyw3zo4s5hhizb","1","q1_1","hike","hike","hike","hike"
"52","56","54","hike","r_qurghtrldmik9ep","1","q1_1","hike","hike","hike","hike"
"53","57","55","walk","r_3r3gnkmxh6cj4xj","1","q1_1","walk","walk","walk","walk"
"54","58","56","hike","r_3spldk4yg0vuyzm","1","q1_1","hike","hike","hike","hike"
"55","60","58","hike","r_0jpq5c2cr1xgqrp","1","q1_1","hike","hike","hike","hike"
"56","61","59","hike","r_3dwjzew3otxnmwx","1","q1_1","hike","hike","hike","hike"
"57","62","60","hike","r_2dl7lzitissyp77","1","q1_1","hike","hike","hike","hike"
"58","63","61","hiking","r_usyweyonkyalcvd","1","q1_1","hiking","hike","hike","hike"
"59","64","62","hike","r_1mqv6avnoq9pn5i","1","q1_1","hike","hike","hike","hike"
"60","65","63","hike","r_9fezvqn9pwsissl","1","q1_1","hike","hike","hike","hike"
"61","66","64","hiking","r_3pabppu2x7c9gw9","1","q1_1","hiking","hike","hike","hike"
"62","67","65","mountain biking","r_9rizybocn4vgdyx","1","q1_1","mountain biking ","mountain bike","mountain bike","mountain bike"
"63","68","66","hike","r_3qdjhsj4kxbpelg","1","q1_1","hike","hike","hike","hike"
"64","69","67","experience the natural world","r_3hu3ra3kttdmzvp","1","q1_1","experience the natural world","experience the nature","experience the nature","experience the nature"
"65","70","68","run","r_3ff3nabvxbyjb2f","1","q1_1","run","run","run","run"
"66","71","69","day hiking","r_pozlsbyyrr9phnf","1","q1_1","day hiking","day hike","hike","hike"
"67","72","70","bike","r_2twqc6r4uh3tzkz","1","q1_1","bike","bike","bike","bike"
"68","73","71","hike","r_11x8st3z2kfwmnv","1","q1_1","hike","hike","hike","hike"
"69","74","72","hike","r_323fbwkmv5fn8ir","1","q1_1","hike","hike","hike","hike"
"70","75","73","hike","r_2cqu5hcof7av4ng","1","q1_1","hike","hike","hike","hike"
"71","76","74","enjoy nature","r_1k8pwcckgzrm9um","1","q1_1","enjoy nature ","enjoy nature","enjoy nature","enjoy nature"
"72","77","75","run","r_3codnezira30b6k","1","q1_1","run","run","run","run"
"73","78","76","hike","r_uxgpavkrmhppund","1","q1_1","hike","hike","hike","hike"
"74","79","77","hike","r_vvwtfbrhayt1zgl","1","q1_1","hike","hike","hike","hike"
"75","80","78","hike","r_3jdnzj9weczzkzk","1","q1_1","hike","hike","hike","hike"
"76","81","79","eat","r_1jd0lv7vlsyftpp","1","q1_1","eat","eat","eat","eat"
"77","82","80","hiking","r_2vopqljenladfpq","1","q1_1","hiking","hike","hike","hike"
"78","83","81","hike","r_2xxerpw7avivavy","1","q1_1","hike","hike","hike","hike"
"79","84","82","hiking","r_21iuvlxbuvdfpkn","1","q1_1","hiking","hike","hike","hike"
"80","85","83","mountain bike!!!!!","r_1dfcw848llozihk","1","q1_1","mountain bike!!!!!","mountain bike","mountain bike","mountain bike"
"81","86","84","bicycle","r_24dhrs9igrptqx4","1","q1_1","bicycle","bike","bike","bike"
"82","87","85","hike","r_1m6pc2e9zwzsrjz","1","q1_1","hike","hike","hike","hike"
"83","88","86","hiking","r_0cbpu5q9755dsiv","1","q1_1","hiking","hike","hike","hike"
"84","89","87","mountain bike","r_xqwdcbeaoznmf6n","1","q1_1","mountain bike","mountain bike","mountain bike","mountain bike"
"85","90","88","get exercise","r_1pwzl6luigz8gzp","1","q1_1","get exercise","exercise","exercise","exercise"
"86","91","89","hike","r_2uzigvedsmhoz5k","1","q1_1","hike","hike","hike","hike"
"87","92","90","bike","r_1erj07acp0jyizj","1","q1_1","bike","bike","bike","bike"
"88","93","91","hike","r_3fxjqnknywipu4t","1","q1_1","hike","hike","hike","hike"
"89","94","92","hike","r_quyv5d6lmj6dmev","1","q1_1","hike","hike","hike","hike"
"90","95","93","hike","r_31rc8ymx2jqmnzy","1","q1_1","hike","hike","hike","hike"
"91","96","94","hike","r_vcf0kk3wjvoj0wf","1","q1_1","hike","hike","hike","hike"
"92","97","95","enjoy hiking","r_2shsjvhjt25i4vo","1","q1_1","enjoy hiking","enjoy hike","enjoy hike","enjoy hike"
"93","98","96","socialize","r_y35kbg9iwai4y6j","1","q1_1","socialize","socialize","socialize","socialize"
"94","99","97","ride bike","r_28bn2xh8bx48bvl","1","q1_1","ride bike","bike","bike","bike"
"95","100","98","bike","r_2dyxgnv8hmwwoyo","1","q1_1","bike","bike","bike","bike"
"96","101","99","bike","r_4tqaux2kxxatiup","1","q1_1","bike","bike","bike","bike"
"97","102","100","hike","r_307sbhjw4ozyuw9","1","q1_1","hike","hike","hike","hike"
"98","103","101","bike","r_2pjkuewfid2u0kw","1","q1_1","bike","bike","bike","bike"
"99","104","102","hike","r_2ti5qlaw2okfwvv","1","q1_1","hike","hike","hike","hike"
"100","105","103","bike for funexercise","r_1gjpsfhpwehhnu2","1","q1_1","bike for fun / exercise ","bike for fun and exercise","bike for fun and exercise","bike for fun and exercise"
"101","106","104","hike","r_1f9rimqhati8ej0","1","q1_1","hike","hike","hike","hike"
"102","107","105","hike","r_3245agsls07a7v9","1","q1_1","hike","hike","hike","hike"
"103","108","106","bike","r_bv9bf5wdbzcrwkb","1","q1_1","bike","bike","bike","bike"
"104","109","107","exercise","r_3ehq4sshryw9uwr","1","q1_1","exercise","exercise","exercise","exercise"
"105","110","108","hike","r_2yf2glovrlfwmgj","1","q1_1","hike","hike","hike","hike"
"106","111","109","exercise","r_3eezh9pmctwoqaa","1","q1_1","exercise ","exercise","exercise","exercise"
"107","112","110","hike","r_xc6dszqnyicu1oh","1","q1_1","hike","hike","hike","hike"
"108","113","111","hike","r_273qe4ulgjhlzpq","1","q1_1","hike","hike","hike","hike"
"109","115","113","mountain bike","r_1d5jkooxd09nwxv","1","q1_1","mountain bike","mountain bike","mountain bike","mountain bike"
"110","116","114","hiking","r_2uwjv3dz4uyi48s","1","q1_1","hiking","hike","hike","hike"
"111","117","115","hike","r_1roez6kbovnsnme","1","q1_1","hike","hike","hike","hike"
"112","118","116","exercise","r_anssipwxxsnlmib","1","q1_1","exercise","exercise","exercise","exercise"
"113","119","117","hike","r_2atipihunaoivao","1","q1_1","hike","hike","hike","hike"
"114","120","118","take photos","r_3hlwl292p53s1in","1","q1_1","take photos","photograph","photograph","photograph"
"115","121","119","camp","r_2szpqjxtvstmi9x","1","q1_1","camp","camp","camp","camp"
"116","122","120","hike","r_3kmoc0t7e9xpk4y","1","q1_1","hike","hike","hike","hike"
"117","123","121","botanize","r_9oteq71ill4tdlx","1","q1_1","botanize","identify plants","identify plants","identify plants"
"118","124","122","walk","r_242iosv0bi32nny","1","q1_1","walk","walk","walk","walk"
"119","125","123","walk","r_rp6vhz8lmvq16hn","1","q1_1","walk","walk","walk","walk"
"120","126","124","hike","r_2x7dkxtymmtvivo","1","q1_1","hike","hike","hike","hike"
"121","127","125","exercise","r_3kmgeixkq2cyzq4","1","q1_1","exercise","exercise","exercise","exercise"
"122","128","126","take pictures","r_3fdtvdx3oaahlwd","1","q1_1","take pictures","photograph","photograph","photograph"
"123","129","127","backpack","r_1ou0ew9txwgiwmk","1","q1_1","backpack","backpack","backpack","backpack"
"124","130","128","walkrun","r_2e3qoluxqsdhrbk","1","q1_1","walk/ run","walk or run","walk or run","run"
"125","131","129","hike","r_2cckdmcfzizu0fc","1","q1_1","hike","hike","hike","hike"
"126","132","130","hike","r_2drous88xuynhsa","1","q1_1","hike","hike","hike","hike"
"127","133","131","walk","r_2ydsowftx4l4fua","1","q1_1","walk","walk","walk","walk"
"128","134","132","meditate","r_cpemoaglidv8rkh","1","q1_1","meditate","meditate","meditate","meditate"
"129","135","133","hike to destination","r_2ppqzvhnp8gzvwk","1","q1_1","hike to destination","hike to destination","hike to destination","hike to destination"
"130","136","134","hike","r_z2wwflshars03v3","1","q1_1","hike","hike","hike","hike"
"131","137","135","hike","r_1nnrhwmaz0ipom5","1","q1_1","hike","hike","hike","hike"
"132","138","136","take photos","r_3o6wng0qaxzyclu","1","q1_1","take photos","photograph","photograph","photograph"
"133","139","137","backpack","r_2sdywodrnhzzd2b","1","q1_1","backpack","backpack","backpack","backpack"
"134","140","138","hike","r_3ch0z5qlcg1qq5l","1","q1_1","hike","hike","hike","hike"
"135","141","139","walk","r_2pbatlsa05afft6","1","q1_1","walk","walk","walk","walk"
"136","142","140","hike","r_3nugl5ggldbmshe","1","q1_1","hike","hike","hike","hike"
"137","143","141","hike","r_3vzuzc9oo66dyxt","1","q1_1","hike","hike","hike","hike"
"138","144","142","hike","r_ywicxzhjyrahefn","1","q1_1","hike","hike","hike","hike"
"139","145","143","identify flora","r_27ezsoic6wv12nd","1","q1_1","identify flora","identify plants","identify plants","identify plants"
"140","146","144","hike","r_2wm5katan81mwdc","1","q1_1","hike","hike","hike","hike"
"141","147","145","meditate","r_erf5aubmxebefez","1","q1_1","meditate","meditate","meditate","meditate"
"142","148","146","hike","r_xbkdyf08au085pf","1","q1_1","hike","hike","hike","hike"
"143","149","147","hike","r_zshqfwq4kv7f9jh","1","q1_1","hike","hike","hike","hike"
"144","150","148","hike","r_2efnuzuxi3snu8v","1","q1_1","hike","hike","hike","hike"
"145","151","149","hike","r_phljndb9kpgxinp","1","q1_1","hike","hike","hike","hike"
"146","152","150","identify plants","r_1iy1bn9mjjwfggs","1","q1_1","identify plants","identify plants","identify plants","identify plants"
"147","153","151","hike","r_3rl6ltagflsvr5e","1","q1_1","hike","hike","hike","hike"
"148","154","152","hike","r_9rdopcsovpd9srd","1","q1_1","hike ","hike","hike","hike"
"149","155","153","walk","r_3s6bbwmfcjyvgks","1","q1_1","walk","walk","walk","walk"
"150","156","154","view wildlife","r_26bsj9ilqw0rtun","1","q1_1","view wildlife","view wildlife","view wildlife","view wildlife"
"151","157","155","hike","r_dgyar3bd5hdmpcz","1","q1_1","hike","hike","hike","hike"
"152","158","156","hike","r_3soj2risn3yevvn","1","q1_1","hike","hike","hike","hike"
"153","159","157","bicycles","r_qfrquxczujhpwq9","1","q1_1","bicycles ","bike","bike","bike"
"154","160","158","hike","r_2dm3nnw3eeo8ixl","1","q1_1","hike","hike","hike","hike"
"155","161","159","bicycle","r_3sodm9kppo3bhzp","1","q1_1","bicycle","bike","bike","bike"
"156","162","160","hiking","r_322umboucmr4v13","1","q1_1","hiking","hike","hike","hike"
"157","163","161","walk","r_pavd2uzarylpmpr","1","q1_1","walk","walk","walk","walk"
"158","164","162","hike","r_3hbb8qrjslpbior","1","q1_1","hike","hike","hike","hike"
"159","165","163","hike","r_279aueo0o58a2xh","1","q1_1","hike ","hike","hike","hike"
"160","166","164","walk","r_3frzufzcoevccpx","1","q1_1","walk","walk","walk","walk"
"161","167","165","ride mountain bike","r_2affhvy5io7wfc5","1","q1_1","ride mountain bike ","mountain bike","mountain bike","mountain bike"
"162","168","166","hike","r_3kt9nd0e4v6x9ja","1","q1_1","hike","hike","hike","hike"
"163","169","167","walk","r_z0fcxkazkbwatyf","1","q1_1","walk","walk","walk","walk"
"164","170","168","birdwatching","r_2ebwmvtrxxn3lgb","1","q1_1","birdwatching ","bird watch","bird view","bird view"
"165","172","170","atv","r_1kh6keifvfgrgxm","1","q1_1","atv","atv","atv","atv"
"166","173","171","walk","r_1ewc53aocuhboop","1","q1_1","walk","walk","walk","walk"
"167","174","172","walk","r_20tptfhdlnbebnu","1","q1_1","walk","walk","walk","walk"
"168","175","173","hike","r_2bnrj3iqxrkybna","1","q1_1","hike","hike","hike","hike"
"169","176","174","hike","r_2rrby6zfdxjooku","1","q1_1","hike","hike","hike","hike"
"170","177","175","run","r_20y7kj2jybbtvhe","1","q1_1","run","run","run","run"
"171","178","176","hike","r_sfsroolgozc1bwv","1","q1_1","hike","hike","hike","hike"
"172","179","177","hike","r_1myox8ruskq4026","1","q1_1","hike","hike","hike","hike"
"173","180","178","hike","r_3ngwvihz2y1inbc","1","q1_1","hike","hike","hike","hike"
"174","181","179","hike","r_zeucnt4zv6slt1d","1","q1_1","hike","hike","hike","hike"
"175","182","180","walking","r_2aazkndewymcsxf","1","q1_1","walking","walk","walk","walk"
"176","183","181","hike","r_dmpzgwcna9wgijn","1","q1_1","hike","hike","hike","hike"
"177","184","182","escape urbanized areas","r_2rzmiyclysvjkmi","1","q1_1","escape urbanized areas","escape the developed world and city","escape the developed world and city","escape the developed world and city"
"178","186","184","hike","r_r2hvnyld27vhoev","1","q1_1","hike","hike","hike","hike"
"179","187","185","run","r_1eip5rmznhg3i2p","1","q1_1","run","run","run","run"
"180","188","186","ride when it's too wet","r_10twcuxgf2t46i1","1","q1_1","ride when it's too wet.","ride when it's too wet","ride when it's too wet","ride when it's too wet"
"181","189","187","hike","r_3hulnbrpghdx05n","1","q1_1","hike","hike","hike","hike"
"182","190","188","walk alone","r_ah6vurl43mprfkn","1","q1_1","walk alone","walk alone","walk alone","walk alone"
"183","191","189","horseback ride","r_z0tqpeutibkzqsd","1","q1_1","horseback ride","horseback ride","horseback ride","horseback ride"
"184","192","190","mountain biking","r_3k6ucloq9qccvx1","1","q1_1","mountain biking","mountain bike","mountain bike","mountain bike"
"185","193","191","walk (hike, other foot travel)","r_3honcer2wlhpws1","1","q1_1","walk (hike, other foot travel)","walk or hike","walk or hike","walk or hike"
"186","194","192","bike to work","r_3ry4xqjuyjuqrvk","1","q1_1","bike to work","bike commute","bike commute","bike commute"
"187","195","193","walk","r_r4vutwhnjo14dbn","1","q1_1","walk","walk","walk","walk"
"188","196","194","hike","r_1ohxvhe5virzhah","1","q1_1","hike ","hike","hike","hike"
"189","197","195","walk","r_3fezbmtwow1tecr","1","q1_1","walk","walk","walk","walk"
"190","198","196","walk","r_01jhiazmyudef5t","1","q1_1","walk","walk","walk","walk"
"191","199","197","hike","r_qreerujetr9sted","1","q1_1","hike","hike","hike","hike"
"192","200","198","hike","r_3lemucoosp6cquc","1","q1_1","hike","hike","hike","hike"
"193","201","199","bike","r_3hs1sh4x6jqylsk","1","q1_1","bike","bike","bike","bike"
"194","202","200","run","r_8hx3snzzsx8fv85","1","q1_1","run","run","run","run"
"195","203","201","hike","r_1ceegzglapnwmc3","1","q1_1","hike","hike","hike","hike"
"196","204","202","hike","r_1ey0moxw3qwus2e","1","q1_1","hike","hike","hike","hike"
"197","205","203","ride horses","r_1nvj9vji0savau3","1","q1_1","ride horses","horseback ride","horseback ride","horseback ride"
"198","206","204","hike","r_we7zhxfe1isqkqn","1","q1_1","hike","hike","hike","hike"
"199","207","205","hike","r_1fs2ssfuwwpmzeu","1","q1_1","hike","hike","hike","hike"
"200","208","206","enjoy nature","r_2wukjlsbzs6h5nc","1","q1_1","enjoy nature","enjoy nature","enjoy nature","enjoy nature"
"201","209","207","ride their horse","r_10oxdvxs8uciwfc","1","q1_1","ride their horse","horseback ride","horseback ride","horseback ride"
"202","210","208","mountain biking","r_qyjb72qh2k8ovjr","1","q1_1","mountain biking","mountain bike","mountain bike","mountain bike"
"203","211","209","mountain bike","r_1jvvwxpjh4diczb","1","q1_1","mountain bike","mountain bike","mountain bike","mountain bike"
"204","212","210","bike","r_3o0t21u6h0fdi2o","1","q1_1","bike","bike","bike","bike"
"205","213","211","walk","r_2e5dwgikicwuhzg","1","q1_1","walk","walk","walk","walk"
"206","214","212","mountain bike","r_2yf9cviw6tr3f9y","1","q1_1","mountain bike","mountain bike","mountain bike","mountain bike"
"207","215","213","hike","r_2sdbrpz7gxkbh7f","1","q1_1","hike","hike","hike","hike"
"208","216","214","hike","r_okaoqo0szyxbmp7","1","q1_1","hike","hike","hike","hike"
"209","217","215","mountain bike","r_xxqjgtqbwleoe0x","1","q1_1","mountain bike","mountain bike","mountain bike","mountain bike"
"210","218","216","hike","r_336yezy255roxp0","1","q1_1","hike","hike","hike","hike"
"211","219","217","horse back","r_1jvxwzvrj2qbfjc","1","q1_1","horse back","horseback ride","horseback ride","horseback ride"
"212","220","218","bike","r_wxsccvrdn6pwxed","1","q1_1","bike","bike","bike","bike"
"213","221","219","ride bikes","r_3oek9vljioaymec","1","q1_1","ride bikes","bike","bike","bike"
"214","222","220","mountain bike","r_1fnpgxw2y5f38wo","1","q1_1","mountain bike","mountain bike","mountain bike","mountain bike"
"215","223","221","hike","r_3rmoj01kvilypmc","1","q1_1","hike","hike","hike","hike"
"216","224","222","connect with nature","r_25bl4obcwvrvadb","1","q1_1","connect with nature","connect with nature","connect with nature","connect with nature"
"217","225","223","hike","r_3jl9sst3rbwlfdh","1","q1_1","hike","hike","hike","hike"
"218","226","224","bike","r_wnsulfy46bsdign","1","q1_1","bike","bike","bike","bike"
"219","227","225","bike","r_2ze6ffigjppspsv","1","q1_1","bike","bike","bike","bike"
"220","228","226","bike","r_1jjdfgjtk36yuvr","1","q1_1","bike","bike","bike","bike"
"221","229","227","thru hike","r_3ojypcxihadfd3m","1","q1_1","thru-hike","thru hike","thru hike","thru hike"
"222","230","228","bike","r_1rplgpxlj2c0vzd","1","q1_1","bike","bike","bike","bike"
"223","231","229","run","r_3fdjqwhhi4hyzcu","1","q1_1","run","run","run","run"
"224","232","230","hike","r_2v4hskgleobyal3","1","q1_1","hike","hike","hike","hike"
"225","233","231","exercise","r_1dvvjhgt56hdddv","1","q1_1","exercise","exercise","exercise","exercise"
"226","234","232","hike","r_3qriw87stemnkjq","1","q1_1","hike","hike","hike","hike"
"227","235","233","bicycle","r_1g5ezd8q7pj7tb4","1","q1_1","bicycle","bike","bike","bike"
"228","236","234","run","r_odvvye3kffg0t61","1","q1_1","run","run","run","run"
"229","237","235","hike","r_1mvgfgj3bokgarn","1","q1_1","hike","hike","hike","hike"
"230","238","236","hike","r_1ndoervt2trixkt","1","q1_1","hike","hike","hike","hike"
"231","239","237","biking","r_3lxh5fpqn24bgfn","1","q1_1","biking","bike","bike","bike"
"232","240","238","equestrian","r_efixuor5intsqr7","1","q1_1","equestrian ","horseback ride","horseback ride","horseback ride"
"233","241","239","hike","r_2ayjztu5jfaonec","1","q1_1","hike","hike","hike","hike"
"234","242","240","mountain bike","r_vdhxgdhawvt6b1v","1","q1_1","mountain bike","mountain bike","mountain bike","mountain bike"
"235","243","241","bicycle","r_3of3fb1dpcakbab","1","q1_1","bicycle","bike","bike","bike"
"236","244","242","bike","r_zdryjm64mz9cmk1","1","q1_1","bike","bike","bike","bike"
"237","245","243","hike","r_3izmqjwwjzmcogc","1","q1_1","hike","hike","hike","hike"
"238","246","244","hike","r_33vapuenmhlzi4o","1","q1_1","hike","hike","hike","hike"
"239","247","245","hiking","r_2ciyz97wreil1io","1","q1_1","hiking","hike","hike","hike"
"240","248","246","hike","r_25x9awvwplsswy5","1","q1_1","hike","hike","hike","hike"
"241","249","247","hike","r_3exfgr1ebpqzjne","1","q1_1","hike","hike","hike","hike"
"242","250","248","bike","r_sdglchzm0s3igsx","1","q1_1","bike","bike","bike","bike"
"243","251","249","hike","r_q9rkdhxpvolj9jf","1","q1_1","hike ","hike","hike","hike"
"244","252","250","distance bike touring","r_thmhuw03jg343u5","1","q1_1","distance bike touring","distancebike touring","distancebike touring","distancebike touring"
"245","253","251","mountain bike","r_1fsm7l0vp24df1n","1","q1_1","mountain bike","mountain bike","mountain bike","mountain bike"
"246","254","252","mountainbike","r_302weuexry76szy","1","q1_1","mountainbike ","mountainike","mountainike","mountainike"
"247","255","253","walk","r_1ckg2nx2q5og10w","1","q1_1","walk","walk","walk","walk"
"248","256","254","mountain bike","r_1m0b6kcxpadwidb","1","q1_1","mountain bike ","mountain bike","mountain bike","mountain bike"
"249","257","255","put dog waste into plastic bags and throw the bags slightly off the trail","r_2v2kmi40lins2lp","1","q1_1","put dog waste into plastic bags and throw the bags slightly off the trail","leave dog poop bags","leave dog poop bags","leave dog poop bags"
"250","258","256","photography","r_3n2xq0ww34thajr","1","q1_1","photography","photograph","photograph","photograph"
"251","259","257","hike","r_3czxhrhum95tzxp","1","q1_1","hike","hike","hike","hike"
"252","260","258","walk","r_3lbfxzvqe8i0djs","1","q1_1","walk","walk","walk","walk"
"253","261","259","commute","r_voxnxf4ccmcggrx","1","q1_1","commute","commute","commute","commute"
"254","262","260","hike","r_vojkdoblrnxj1hx","1","q1_1","hike","hike","hike","hike"
"255","263","261","mountain bike","r_rabswxwsczeuhul","1","q1_1","mountain bike","mountain bike","mountain bike","mountain bike"
"256","264","262","bicycle","r_2zpmrmf7acvwxzk","1","q1_1","bicycle","bike","bike","bike"
"257","265","263","hiking","r_12dz3pai5jl1ni5","1","q1_1","hiking","hike","hike","hike"
"258","266","264","hike","r_1iqakxvf2nvczuw","1","q1_1","hike","hike","hike","hike"
"259","267","265","walk","r_2y2qxlksgc9lwd1","1","q1_1","walk","walk","walk","walk"
"260","268","266","hiking","r_1nahnbd0843dsrl","1","q1_1","hiking","hike","hike","hike"
"261","269","267","ride horses","r_2fi12xqydvsicxe","1","q1_1","ride horses","horseback ride","horseback ride","horseback ride"
"262","270","268","horseback ride","r_3rznd0oruvrxd8e","1","q1_1","horseback ride","horseback ride","horseback ride","horseback ride"
"263","271","269","ride saddle stock","r_1o5zhxomdx0ekej","1","q1_1","ride saddle stock","ride saddle stock","ride saddle stock","ride saddle stock"
"264","272","270","horseback ride","r_1ejhlps68dusl92","1","q1_1","horseback ride","horseback ride","horseback ride","horseback ride"
"265","273","271","ride","r_8bkn69xnkkr1a5z","1","q1_1","ride","ride","ride","ride"
"266","274","272","hike","r_3gy7th0xs0p3tmx","1","q1_1","hike","hike","hike","hike"
"267","275","273","ride horses","r_3g4mz2tnzcaogtw","1","q1_1","ride horses","horseback ride","horseback ride","horseback ride"
"268","276","274","ride horses","r_0vrp1mgmzvqlztz","1","q1_1","ride horses","horseback ride","horseback ride","horseback ride"
"269","277","275","ride horses","r_2y954dhb1xcpgow","1","q1_1","ride horses","horseback ride","horseback ride","horseback ride"
"270","278","276","hike","r_3moqtymhplr6055","1","q1_1","hike","hike","hike","hike"
"271","279","277","walk","r_2qodnf01ookxliu","1","q1_1","walk","walk","walk","walk"
"272","280","278","hike","r_cfsu3eczerekwo5","1","q1_1","hike","hike","hike","hike"
"273","281","279","hike","r_2wtdzlg8zzvlbk8","1","q1_1","hike","hike","hike","hike"
"274","282","280","ride horses","r_2xdo9frnhnnw5jn","1","q1_1","ride horses ","horseback ride","horseback ride","horseback ride"
"275","283","281","ride horses","r_3kocmme4zoxavgv","1","q1_1","ride horses","horseback ride","horseback ride","horseback ride"
"276","284","282","ride horses","r_3p9dj3gdyvqafbe","1","q1_1","ride horses","horseback ride","horseback ride","horseback ride"
"277","285","283","horse ride","r_3eu9g4oyql9qkai","1","q1_1","horse ride","horseback ride","horseback ride","horseback ride"
"278","286","284","enjoy nature","r_10pfmh0z97qnfzu","1","q1_1","enjoy nature","enjoy nature","enjoy nature","enjoy nature"
